Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.2,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.3,0.7,129927329.5,5.852857142857143,71.19333333333333,3.2114285714285713
1.2,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.297,0.703,,6.593172119487909,64.48148148148148,3.264580369843528
1.2,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.315,0.685,,5.183941605839416,59.006349206349206,3.054014598540146
1.2,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.307,0.693,,4.887445887445887,55.302931596091206,2.9754689754689756
1.2,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.314,0.686,37055992.0,7.052478134110787,54.410828025477706,3.41399416909621
1.2,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.304,0.696,,5.333333333333333,51.3421052631579,3.0833333333333335
1.2,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.296,0.704,,5.1321022727272725,48.92567567567568,2.992897727272727
1.2,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.344,0.656,51508281.76,6.349085365853658,88.29651162790698,3.3734756097560976
1.2,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.304,0.696,50458347.37037037,5.4094827586206895,88.20723684210526,3.2025862068965516
1.2125,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.352,0.648,42577673.0,5.700617283950617,78.67329545454545,3.0632716049382718
1.2125,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.302,0.698,123492600.0,5.078796561604585,69.61258278145695,3.067335243553009
1.2125,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.369,0.631,,5.288431061806656,61.672086720867206,2.987321711568938
1.2125,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.333,0.667,,6.085457271364318,57.729729729729726,3.239880059970015
1.2125,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.343,0.657,,5.089802130898021,53.524781341107875,2.9665144596651447
1.2125,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.332,0.668,,4.8053892215568865,51.825301204819276,2.947604790419162
1.2125,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.344,0.656,,5.548780487804878,49.776162790697676,3.1280487804878048
1.2125,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.311,0.689,,5.346879535558781,47.540192926045016,2.950653120464441
